model_id,model_type,activation_function,optimizer,criterion,learning_rate,momentum,num_epochs,time_minutes
1,FullyConnectedNet,Tanh,SGD,MSELoss,0.13,0.0,20000,0.44
2,FullyConnectedNet,Tanh,SGD,MSELoss,0.12,0.0,20000,0.45
3,FullyConnectedNet,Tanh,SGD,MSELoss,0.1,0.0,20000,0.54
4,FullyConnectedNet,Tanh,SGD,MSELoss,0.07,0.0,20000,0.72
5,FullyConnectedNet,Tanh,SGD,MSELoss,0.06,0.0,20000,0.75
6,FullyConnectedNet,Tanh,SGD,MSELoss,0.05,0.0,20000,0.74
7,FullyConnectedNet,Tanh,SGD,MSELoss,0.04,0.0,20000,0.82
8,FullyConnectedNet,Tanh,SGD,MSELoss,0.032,0.0,20000,0.94
9,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.032,0.0,4000,0.21
10,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.025,0.0,4000,0.24
11,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.02,0.0,4000,0.26
12,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.015,0.0,4000,0.34
13,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.01,0.0,4000,0.4
14,FullyConnectedNet,Tanh,SGD,MSELoss,0.14,0.9,8000,0.67
15,FullyConnectedNet,Tanh,SGD,MSELoss,0.12,0.9,8000,0.31
16,FullyConnectedNet,Tanh,SGD,MSELoss,0.1,0.9,8000,0.26
17,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.1,0.9,500,0.05
18,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.09,0.9,500,0.04
19,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.08,0.9,500,0.04
20,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.07,0.9,500,0.04
21,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.06,0.9,500,0.04
22,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.05,0.9,500,0.05
23,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.04,0.9,500,0.06
24,FullyConnectedNet,Tanh,SGD,CrossEntropyLoss,0.03,0.9,500,0.06
25,FullyConnectedNet,Tanh,RMSprop,MSELoss,5e-05,0.0,4000,0.33
26,FullyConnectedNet,Tanh,RMSprop,MSELoss,2e-05,0.0,4000,0.4
27,FullyConnectedNet,Tanh,RMSprop,MSELoss,1e-05,0.0,4000,0.44
28,FullyConnectedNet,Tanh,RMSprop,CrossEntropyLoss,5e-05,0.0,2000,0.25
29,FullyConnectedNet,Tanh,RMSprop,CrossEntropyLoss,2e-05,0.0,2000,0.4
30,FullyConnectedNet,Tanh,RMSprop,CrossEntropyLoss,1e-05,0.0,2000,0.37
