model_id,model_type,num_hidden_layers,hidden_layers_size,activation_function,optimizer,criterion,learning_rate,momentum,num_epochs,time_minutes
1,FullyConnectedNet,2.0,200.0,Tanh,SGD,MSELoss,0.13,0.0,20000,0.31
2,FullyConnectedNet,2.0,200.0,Tanh,SGD,MSELoss,0.12,0.0,20000,0.31
3,FullyConnectedNet,2.0,200.0,Tanh,SGD,MSELoss,0.1,0.0,20000,0.38
4,FullyConnectedNet,2.0,200.0,Tanh,SGD,MSELoss,0.07,0.0,20000,0.5
5,FullyConnectedNet,2.0,200.0,Tanh,SGD,MSELoss,0.06,0.0,20000,0.5
6,FullyConnectedNet,2.0,200.0,Tanh,SGD,MSELoss,0.05,0.0,20000,0.54
7,FullyConnectedNet,2.0,200.0,Tanh,SGD,MSELoss,0.04,0.0,20000,0.73
8,FullyConnectedNet,2.0,200.0,Tanh,SGD,MSELoss,0.032,0.0,20000,0.76
9,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.032,0.0,4000,0.17
10,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.025,0.0,4000,0.2
11,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.02,0.0,4000,0.22
12,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.015,0.0,4000,0.29
13,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.01,0.0,4000,0.32
14,FullyConnectedNet,2.0,200.0,Tanh,SGD,MSELoss,0.14,0.9,8000,0.37
15,FullyConnectedNet,2.0,200.0,Tanh,SGD,MSELoss,0.12,0.9,8000,0.2
16,FullyConnectedNet,2.0,200.0,Tanh,SGD,MSELoss,0.1,0.9,8000,0.13
17,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.1,0.9,500,0.03
18,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.09,0.9,500,0.03
19,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.08,0.9,500,0.03
20,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.07,0.9,500,0.03
21,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.06,0.9,500,0.04
22,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.05,0.9,500,0.05
23,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.04,0.9,500,0.04
24,FullyConnectedNet,2.0,200.0,Tanh,SGD,CrossEntropyLoss,0.03,0.9,500,0.05
25,CNN,,,ReLU,SGD,CrossEntropyLoss,0.02,0.0,3000,2.25
26,CNN,,,ReLU,SGD,CrossEntropyLoss,0.01,0.0,3000,3.35
27,CNN,,,ReLU,SGD,CrossEntropyLoss,0.005,0.0,3000,5.28
28,CNN,,,ReLU,SGD,CrossEntropyLoss,0.002,0.0,3000,5.08
29,CNN,,,ReLU,SGD,CrossEntropyLoss,0.001,0.0,3000,4.67
